respondent_id,Completed,Termination_Point,A1_purchased_snack,A2_gender,A3_age,A4_province,TV_Channel_A,TV_Channel_B,TV_Channel_C,TV_Channel_D,TV_Channel_E,A6_PotatoChips,A6_Popcorn,A6_Pretzels,A6_Chocolate,A6_GranolaBars,A6_FruitSlices,Exposed_Flag,B1_Unaided_BrandAwareness,B2_Aided_BrandAwareness,B2a_Overall_Impression,B3_Familiarity_BrandX,B4_Consideration_BrandX,B5_Recommendation_BrandX,C1_Ad_Recall_Pre,C2_Ad_Source,C3_Ad_Recall_Post,C4_Ad_Enjoyment,C5_Ad_Attitudes,C6_Key_Message_Unaided,C7_Key_Message_Aided,D1_Grocery_Shopper_Role,D2_Snack_Purchase_Frequency,D3_Weekly_Snack_Spend,D4_Employment_Status,D5_Education_Level,D6_Marital_Status,D7_Children,D8_Children_Age,D9_Community_Type,D10_Household_Income,Completion_Time
695,1,Completed,1,3,4,Ontario,5,5,2,1,3,3,3,4,4,4,3,0,"Doritos, Ranchritos, Hawaiian","3, 4, 5","Pringles:6, Ruffles:9, Utz:9",1,4,7,,,,,,,,1,2,2,5,2,2,1,2,3,2,39.9
268,1,Completed,1,1,2,British Columbia,3,4,4,3,1,3,1,2,4,3,1,1,"BrandX, Cheetos, Zapps","4, 5, 6, 7","Ruffles:5, Utz:3, Kettle Brand:7, Herr's:5",5,5,8,2,,3,4,"5, 3, 5, 4, 2, 5",Good visuals and appealing soundtrack,1,2,2,2,1,1,2,2,,2,3,41.8
146,1,Completed,1,1,4,Northwest Territories,1,3,4,2,4,2,1,4,1,2,4,1,BrandX,"2, 6","Lay's:2, Kettle Brand:7",4,5,8,1,1,1,3,"5, 4, 4, 2, 3, 5",Not very memorable,1,2,2,1,1,1,2,2,,1,1,40.7
172,1,Completed,1,2,4,Ontario,4,3,1,1,4,1,1,2,4,4,2,1,"Pringles, BrandX","2, 3, 7","Lay's:2, Pringles:3, Herr's:5",5,5,9,1,7,1,5,"5, 3, 4, 2, 5, 2",I really appreciated how the ad highlighted the fun aspect of snacking with friends and family. It felt relatable and encouraged me to try new flavors.,1,3,3,4,1,2,3,1,3,1,2,37.4
618,1,Completed,1,2,6,Manitoba,5,5,5,4,4,4,4,2,2,2,2,0,"Zapps, BrandX","1, 3, 5, 6","Brand X:2, Pringles:4, Utz:8, Kettle Brand:3",3,4,8,,,,,,,,2,3,4,1,1,4,1,4,1,2,43.8
311,1,Completed,1,2,2,Ontario,4,2,1,5,2,4,4,3,3,3,3,1,BrandX,"2, 3, 4, 7","Lay's:5, Pringles:4, Ruffles:8, Herr's:9",5,5,9,3,,3,4,"5, 5, 5, 5, 5, 5","The commercial showed the product in various scenarios, suggesting it's a great snack for parties, movie nights, and quick bites at home. It was quite convincing.",1,2,1,1,4,3,2,1,"1, 4",1,2,40.6
569,1,Completed,1,1,2,Quebec,5,5,4,4,2,3,2,3,3,2,4,0,"Ranchritos, Smartfood","4, 6","Ruffles:9, Kettle Brand:5",5,5,8,,,,,,,,2,6,2,1,1,1,1,"2, 3",2,5,11.3
567,1,Completed,1,2,3,Ontario,5,5,3,1,5,3,4,3,2,1,4,0,SunChips,"2, 3, 5, 8","Lay's:7, Pringles:10, Utz:2, Other:2",2,4,5,,,,,,,,1,3,1,2,2,2,2,,1,3,38.7
572,1,Completed,1,1,4,Ontario,5,5,2,5,2,3,2,4,2,3,3,0,"Tims, Ruffles","2, 3, 4, 5","Lay's:8, Pringles:5, Ruffles:8, Utz:2",5,5,6,,,,,,,,2,5,3,2,1,2,2,,2,1,4.5
327,1,Completed,1,2,2,British Columbia,5,2,2,2,2,4,3,2,3,1,3,1,Takis,"1, 5","Brand X:8, Utz:2",5,5,6,1,1,1,4,"2, 2, 5, 5, 3, 4",I really appreciated how the ad highlighted the fun aspect of snacking with friends and family. It felt relatable and encouraged me to try new flavors.,3,1,2,2,1,2,3,1,4,1,4,42.7
805,1,Completed,1,2,4,Quebec,5,5,4,1,1,1,3,3,2,3,3,0,Takis,"4, 5, 6, 7","Ruffles:8, Utz:2, Kettle Brand:8, Herr's:7",3,4,8,,,,,,,,1,1,1,7,5,3,2,,1,4,39.2
205,1,Completed,1,1,4,British Columbia,2,3,3,3,1,2,4,1,1,2,2,1,BrandX,"2, 3, 6","Lay's:7, Pringles:5, Kettle Brand:4",5,5,8,2,,3,1,"4, 5, 4, 5, 4, 4",I found it somewhat boring,1,1,1,1,4,1,1,1,4,1,1,12.1
274,1,Completed,1,1,1,Saskatchewan,2,1,2,1,2,3,3,3,4,3,4,1,"Ruffles, BrandX, Krunchers","2, 3, 6","Lay's:9, Pringles:8, Kettle Brand:2",5,5,8,1,3,1,5,"4, 4, 5, 3, 3, 5",Good visuals and appealing soundtrack,3,2,2,2,5,1,4,2,,3,2,40.7
606,1,Completed,1,2,5,Ontario,5,5,5,1,1,4,1,1,2,2,1,0,"KettleChip, Fritos","1, 3, 4, 6","Brand X:2, Pringles:9, Ruffles:3, Kettle Brand:4",4,4,9,,,,,,,,1,2,1,2,3,2,2,,1,2,4.7
292,1,Completed,1,2,4,Alberta,2,3,5,1,2,2,4,4,2,3,2,1,"Ruffles, BrandX","1, 2, 7","Brand X:5, Lay's:5, Herr's:9",5,5,8,1,7,1,3,"3, 5, 5, 3, 5, 5","It was okay, but nothing special",1,2,1,1,5,1,1,2,,1,2,26.5
645,1,Completed,1,1,3,Quebec,5,5,1,4,1,1,1,3,3,1,4,0,"Ruffles, Doritos","2, 3, 7","Lay's:1, Pringles:8, Herr's:1",4,4,8,,,,,,,,2,1,1,3,2,3,2,,2,1,21.8
211,1,Completed,1,1,5,Newfoundland and Labrador,2,3,3,5,1,4,3,2,1,2,1,1,"BrandX, Wise","4, 5, 6","Ruffles:10, Utz:8, Kettle Brand:5",5,5,8,2,,1,3,"4, 3, 4, 2, 5, 4",I found it somewhat boring,2,1,1,4,1,1,2,1,4,1,4,3.3
165,1,Completed,1,1,3,Ontario,2,4,3,3,1,2,1,4,3,3,4,1,"BrandX, Smartfood, Lays","1, 3, 4","Brand X:1, Pringles:4, Ruffles:9",5,5,9,1,9,1,2,"4, 5, 4, 5, 5, 3",Too repetitive for my taste,1,1,3,2,6,2,2,2,,2,3,12.1
204,1,Completed,1,2,4,Ontario,2,2,4,5,1,2,4,4,4,2,2,1,"Cheetos, BrandX","1, 3, 5","Brand X:6, Pringles:10, Utz:2",2,5,7,2,,3,4,"5, 5, 4, 5, 3, 5",I really appreciated how the ad highlighted the fun aspect of snacking with friends and family. It felt relatable and encouraged me to try new flavors.,3,2,2,1,2,1,2,1,"2, 3",1,4,43.8
213,1,Completed,1,1,2,Nunavut,4,3,1,1,2,3,3,1,3,4,2,1,"BrandX, KettleChip","1, 2, 4","Brand X:3, Lay's:8, Ruffles:2",5,5,9,2,,2,1,"2, 4, 4, 4, 2, 2",Not very memorable,1,1,1,2,2,3,2,1,3,1,4,40.9
139,1,Completed,1,1,2,Alberta,4,3,1,3,5,2,3,2,3,2,3,1,"BrandX, Utz","2, 3, 5","Lay's:7, Pringles:8, Utz:5",5,5,7,1,4,1,5,"5, 5, 5, 5, 5, 5",I really appreciated how the ad highlighted the fun aspect of snacking with friends and family. It felt relatable and encouraged me to try new flavors.,1,1,3,2,1,2,1,2,,1,4,38.5
2009,1,Completed,1,2,5,Alberta,5,5,2,4,2,2,3,2,4,2,4,0,"KettleChip, Pringles","4, 6, 7","Ruffles:3, Kettle Brand:3, Herr's:3",3,3,5,,,,,,,,1,3,2,1,1,1,1,"1, 3, 4",1,1,50
3012,0,MidSurvey,1,1,3,Ontario,2,5,3,2,3,3,2,2,4,3,4,1,"Pringles, PopChips","1, 3, 4, 6","Brand X:4, Pringles:5, Ruffles:5, Kettle Brand:9",3,3,4,,,,,,,,,,,,,,,,,,27.2
3007,0,A6,1,2,1,Quebec,5,3,2,1,4,5,5,5,5,5,5,0,,,,,,,,,,,,,,,,,,,,,,,,33.4
395,1,Completed,1,2,1,Ontario,4,4,4,4,1,4,2,3,3,3,2,1,"PakiChips, Cheetos","3, 6","Pringles:2, Kettle Brand:9",4,5,10,2,,2,5,"5, 5, 5, 4, 3, 4",Really enjoyed the ad and the message of fresh flavors,1,1,2,2,5,1,1,2,,2,2,34.4
73,1,Completed,1,1,2,Ontario,3,4,2,4,4,2,3,2,3,3,3,1,"BrandX, CapeCod","5, 6, 7, 8","Utz:4, Kettle Brand:2, Herr's:8, Other:8",5,5,8,2,,2,3,"5, 4, 4, 5, 4, 4",Not very memorable,1,1,1,1,1,1,3,1,"1, 2, 4",1,2,41
686,1,Completed,1,1,6,Saskatchewan,5,5,4,3,5,1,3,1,3,3,2,0,Doritos,"1, 2, 5, 7","Brand X:9, Lay's:9, Utz:10, Herr's:10",4,4,8,,,,,,,,1,1,2,5,2,4,2,,1,1,30.6
903,1,Completed,1,2,6,British Columbia,5,5,3,4,2,3,4,2,4,1,4,0,Krunchers,"2, 5, 6","Lay's:1, Utz:7, Kettle Brand:2",4,4,6,,,,,,,,1,2,6,1,1,2,1,"2, 3, 4",1,5,33
950,1,Completed,1,1,2,Ontario,5,5,2,5,2,3,3,2,2,3,2,0,"Ruffles, ChexMix","4, 7","Ruffles:2, Herr's:10",4,4,4,,,,,,,,1,1,1,1,4,3,2,,1,4,14
3036,0,A1,99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.4
286,1,Completed,1,1,1,Ontario,3,4,1,1,1,4,4,1,3,1,3,1,Munchies,"3, 6, 7","Pringles:1, Kettle Brand:3, Herr's:2",5,5,10,2,,2,5,"4, 5, 5, 4, 5, 4",I really appreciated how the ad highlighted the fun aspect of snacking with friends and family. It felt relatable and encouraged me to try new flavors.,6,1,4,2,5,2,2,2,,1,2,29.9
655,1,Completed,1,2,6,Quebec,5,5,3,2,2,4,1,1,3,4,3,0,"Tims, Bugles","1, 3, 6","Brand X:10, Pringles:6, Kettle Brand:1",4,4,5,,,,,,,,1,1,1,2,2,2,1,"1, 2",2,5,8.2
3039,0,A6,1,2,1,Quebec,4,2,3,3,1,5,5,5,5,5,5,0,,,,,,,,,,,,,,,,,,,,,,,,29.3
918,1,Completed,1,1,5,Ontario,5,5,3,4,1,2,4,3,2,1,3,0,Ranchritos,"2, 3, 5","Lay's:4, Pringles:6, Utz:6",4,4,7,,,,,,,,1,2,1,1,5,4,1,"1, 3",1,1,27.9
227,1,Completed,1,2,6,Quebec,2,4,2,4,4,3,4,4,3,4,4,1,Takis,"3, 5, 6, 7","Pringles:2, Utz:9, Kettle Brand:8, Herr's:9",5,5,7,2,,3,4,"4, 5, 2, 4, 5, 3",Really enjoyed the ad and the message of fresh flavors,1,1,1,1,3,1,2,2,,2,5,11.5
201,1,Completed,1,1,3,British Columbia,2,5,5,1,4,2,3,2,1,2,4,1,Ruffles,"1, 2, 3, 7","Brand X:6, Lay's:9, Pringles:7, Herr's:8",4,5,9,1,8,1,5,"5, 5, 4, 5, 5, 3",I really appreciated how the ad highlighted the fun aspect of snacking with friends and family. It felt relatable and encouraged me to try new flavors.,1,1,1,1,1,3,2,1,"3, 4",1,4,33.6
933,1,Completed,1,1,3,Alberta,5,5,2,2,5,3,4,2,3,2,2,0,PakiChips,"1, 4, 5","Brand X:8, Ruffles:2, Utz:5",4,5,7,,,,,,,,1,2,2,1,3,2,1,"1, 2",1,2,39.3
969,1,Completed,1,2,4,Prince Edward Island,5,5,1,1,4,3,2,1,4,1,1,0,"Herrs, Smartfood","4, 5, 6","Ruffles:3, Utz:2, Kettle Brand:3",4,4,8,,,,,,,,1,5,2,4,1,1,1,4,1,7,42.8
703,1,Completed,1,1,5,Alberta,5,5,2,5,1,4,4,3,2,2,2,0,"CapeCod, Popcorners","4, 7","Ruffles:2, Herr's:7",4,5,5,,,,,,,,2,1,3,2,2,2,1,"1, 3, 4",3,5,26.5
352,1,Completed,1,2,3,British Columbia,1,3,4,2,4,3,1,1,3,2,1,1,"Fritos, BrandX","3, 5","Pringles:8, Utz:7",3,5,9,2,,2,5,"5, 5, 5, 5, 5, 2",The ad was entertaining and memorable,1,1,2,1,1,3,3,1,1,1,1,39.5
537,1,Completed,1,2,2,British Columbia,5,5,1,2,3,3,4,3,3,1,3,0,"PopChips, Munchies","3, 7, 8","Pringles:9, Herr's:1, Other:7",5,5,8,,,,,,,,1,2,1,1,4,1,1,2,1,3,37.7
96,1,Completed,1,1,5,Saskatchewan,1,3,3,5,4,3,3,2,1,2,4,1,Krunchers,"3, 4, 6","Pringles:6, Ruffles:2, Kettle Brand:5",3,4,9,2,,1,5,"4, 5, 4, 5, 5, 5",Good visuals and appealing soundtrack,1,1,2,2,1,1,1,2,,2,2,32.8
477,1,Completed,1,2,3,Ontario,3,1,2,2,4,3,3,3,3,2,2,1,BrandX,"1, 6","Brand X:4, Kettle Brand:2",5,5,9,1,6,1,5,"2, 5, 5, 3, 3, 5",Good visuals and appealing soundtrack,1,1,1,2,1,3,1,2,,1,3,20.1
168,1,Completed,1,2,1,Quebec,1,2,1,1,2,4,2,3,1,4,2,1,"PopChips, Zapps, Wise","1, 5","Brand X:3, Utz:9",5,5,8,1,6,1,4,"5, 2, 5, 4, 4, 5","The commercial showed the product in various scenarios, suggesting it's a great snack for parties, movie nights, and quick bites at home. It was quite convincing.",6,1,2,1,6,4,2,2,,1,2,5.2
86,1,Completed,1,1,4,Quebec,2,2,2,5,2,3,4,4,2,3,3,1,BrandX,"1, 7","Brand X:9, Herr's:7",5,5,8,1,4,1,5,"5, 2, 1, 5, 4, 5",Loved the upbeat feel and the emphasis on quality ingredients,1,1,1,2,1,1,1,1,"2, 3, 4",2,3,16.4
887,1,Completed,1,1,1,Quebec,5,5,5,5,3,3,2,3,2,4,4,0,CapeCod,"3, 6, 7","Pringles:5, Kettle Brand:9, Herr's:7",2,3,6,,,,,,,,2,4,3,1,3,1,1,2,2,3,39.7
530,1,Completed,1,1,2,Quebec,5,5,3,2,4,2,2,4,3,1,3,0,KettleChip,"2, 3, 7","Lay's:5, Pringles:9, Herr's:6",4,4,5,,,,,,,,2,1,1,6,2,1,1,"1, 2",1,5,36.3
634,1,Completed,1,2,1,British Columbia,5,5,2,1,5,4,1,3,1,4,2,0,Takis,"3, 6","Pringles:9, Kettle Brand:1",4,5,8,,,,,,,,1,5,2,5,2,2,2,,1,4,41.5
197,1,Completed,1,2,3,Alberta,1,1,2,1,2,3,4,1,3,4,1,1,BrandX,"2, 6","Lay's:3, Kettle Brand:2",5,5,10,1,3,1,4,"4, 5, 4, 2, 5, 5",I really appreciated how the ad highlighted the fun aspect of snacking with friends and family. It felt relatable and encouraged me to try new flavors.,6,1,2,2,2,2,2,1,"1, 2, 4",1,2,20.1
771,1,Completed,1,2,6,Alberta,5,5,3,2,1,1,1,3,4,2,4,0,"Funyuns, Utz","2, 6","Lay's:6, Kettle Brand:1",4,4,9,,,,,,,,2,2,6,6,3,3,2,,1,2,37.3
738,1,Completed,1,2,1,Ontario,5,5,3,1,1,3,3,3,3,2,2,0,"MissVickie, Utz","2, 5, 7","Lay's:2, Utz:6, Herr's:5",2,4,6,,,,,,,,1,1,2,1,3,2,1,"1, 3, 4",3,2,4.9
846,1,Completed,1,1,1,Ontario,5,5,1,1,2,2,3,1,3,4,3,0,"PopChips, Ruffles, BrandX","2, 3, 7","Lay's:5, Pringles:6, Herr's:2",4,5,8,,,,,,,,1,1,1,1,1,2,1,3,1,2,33.3
315,1,Completed,1,1,2,Ontario,2,1,2,3,1,2,4,4,1,2,4,1,"BrandX, Pringles, Ruffles","5, 7","Utz:7, Herr's:4",5,5,8,1,4,1,3,"4, 5, 4, 3, 4, 5",Not very memorable,5,1,2,2,6,4,1,1,"1, 2, 4",1,3,23.3
191,1,Completed,1,1,3,Alberta,2,5,5,3,1,1,2,1,3,1,4,1,"BrandX, Wise, MissVickie","1, 5, 7","Brand X:7, Utz:8, Herr's:2",5,5,8,2,,1,4,"4, 5, 5, 3, 1, 3","The commercial showed the product in various scenarios, suggesting it's a great snack for parties, movie nights, and quick bites at home. It was quite convincing.",6,1,1,2,1,1,2,1,3,1,4,40.7
51,1,Completed,1,2,5,Ontario,5,2,3,2,3,3,4,3,3,4,3,1,"PakiChips, BrandX","1, 2, 6","Brand X:1, Lay's:3, Kettle Brand:9",5,5,8,1,1,1,4,"5, 5, 2, 4, 5, 5","The commercial showed the product in various scenarios, suggesting it's a great snack for parties, movie nights, and quick bites at home. It was quite convincing.",1,3,2,2,1,3,2,1,2,3,4,37.9
178,1,Completed,1,2,2,Ontario,1,2,3,1,5,3,2,3,1,2,3,1,"BrandX, Doritos","1, 3, 4, 5","Brand X:3, Pringles:5, Ruffles:7, Utz:8",5,5,10,1,1,1,4,"2, 5, 4, 4, 5, 5","The commercial showed the product in various scenarios, suggesting it's a great snack for parties, movie nights, and quick bites at home. It was quite convincing.",1,1,1,1,1,2,4,2,,1,3,27.9
744,1,Completed,1,1,6,Ontario,5,5,3,1,5,1,4,4,3,3,3,0,Funyuns,"1, 4, 6, 8","Brand X:3, Ruffles:2, Kettle Brand:9, Other:5",4,5,7,,,,,,,,1,2,1,2,1,2,2,,3,2,34.1
185,1,Completed,1,1,4,British Columbia,3,3,5,4,3,2,3,1,3,4,2,1,BrandX,"2, 3, 6","Lay's:10, Pringles:3, Kettle Brand:7",3,5,8,2,,3,4,"4, 2, 5, 5, 5, 5",Really enjoyed the ad and the message of fresh flavors,1,2,1,3,5,2,1,2,,3,3,44.1
3048,0,A6,1,2,4,Prince Edward Island,2,4,5,3,2,5,5,5,5,5,5,0,,,,,,,,,,,,,,,,,,,,,,,,21.2
44,1,Completed,1,1,1,Quebec,4,1,3,1,2,2,1,4,4,3,1,1,BrandX,"1, 3, 4","Brand X:9, Pringles:4, Ruffles:8",5,5,8,1,4,1,4,"4, 5, 5, 5, 4, 5",I really appreciated how the ad highlighted the fun aspect of snacking with friends and family. It felt relatable and encouraged me to try new flavors.,2,2,3,2,1,2,1,2,,1,5,31.6
931,1,Completed,1,2,2,Northwest Territories,5,5,3,3,4,2,2,2,2,4,3,0,"Popcorners, Bugles, Ruffles","1, 2, 7","Brand X:6, Lay's:5, Herr's:4",5,5,7,,,,,,,,1,2,1,4,1,3,1,4,1,2,33.8
617,1,Completed,1,2,2,Ontario,5,5,2,3,4,1,4,4,3,3,2,0,Popcorners,"2, 5, 7","Lay's:7, Utz:9, Herr's:5",2,3,5,,,,,,,,1,2,2,6,2,2,2,,1,3,8.2
299,1,Completed,1,1,1,Quebec,1,4,5,5,5,3,3,3,2,2,3,1,"BrandX, Fritos","1, 6","Brand X:6, Kettle Brand:4",4,4,10,1,2,1,5,"3, 4, 5, 5, 5, 5",It made me think of fun snacking moments,2,2,5,2,5,3,1,2,,1,5,12.9
162,1,Completed,1,2,6,Ontario,3,4,4,5,5,1,2,3,2,2,4,1,"Pringles, BrandX","1, 3","Brand X:6, Pringles:9",5,5,9,2,,3,5,"4, 5, 4, 4, 5, 2",Really enjoyed the ad and the message of fresh flavors,1,1,1,1,5,2,2,2,,1,3,24.2
665,1,Completed,1,1,6,Quebec,5,5,2,3,4,4,2,3,3,2,2,0,"BrandX, Ranchritos, Fritos","1, 2, 4, 6","Brand X:3, Lay's:8, Ruffles:8, Kettle Brand:8",5,5,8,,,,,,,,1,3,1,1,2,5,1,4,1,3,41.3
624,1,Completed,1,1,3,Ontario,5,5,5,2,5,3,3,1,3,3,2,0,BrandX,"3, 5","Pringles:10, Utz:8",2,3,4,,,,,,,,1,1,2,2,2,1,1,"1, 2, 4",1,7,36.6
457,1,Completed,1,2,1,Quebec,1,4,5,4,3,3,4,2,2,1,4,1,"Takis, Popcorners","1, 2, 7","Brand X:8, Lay's:2, Herr's:8",5,5,7,1,7,1,3,"2, 3, 5, 4, 5, 2","It was okay, but nothing special",6,2,3,1,2,1,1,1,"2, 4",1,2,24.5
173,1,Completed,1,2,4,Alberta,3,4,4,4,1,1,1,3,3,2,2,1,"Pringles, Herrs","1, 4, 5, 7","Brand X:9, Ruffles:2, Utz:7, Herr's:7",4,5,7,3,,1,4,"5, 5, 5, 5, 4, 5",I really appreciated how the ad highlighted the fun aspect of snacking with friends and family. It felt relatable and encouraged me to try new flavors.,1,1,4,1,2,1,2,2,,1,1,23.9
500,1,Completed,1,2,3,Alberta,1,1,5,1,5,3,3,2,4,2,3,1,"BrandX, ChexMix, Wise","5, 6","Utz:7, Kettle Brand:4",5,5,9,1,8,1,2,"4, 4, 4, 5, 4, 5",Not very memorable,1,1,1,1,5,1,2,1,"1, 4",1,2,29.5
999,1,Completed,1,2,6,British Columbia,5,5,3,3,5,2,1,3,3,1,1,0,"Ruffles, Fritos","1, 2, 5","Brand X:1, Lay's:9, Utz:2",1,4,5,,,,,,,,1,5,1,6,3,1,1,3,1,3,11.2
275,1,Completed,1,1,1,Quebec,1,2,3,2,4,2,2,3,2,2,2,1,"Doritos, KettleChip","1, 3, 5, 7","Brand X:5, Pringles:1, Utz:6, Herr's:7",3,5,7,1,2,1,5,"4, 5, 2, 5, 5, 3",I really appreciated how the ad highlighted the fun aspect of snacking with friends and family. It felt relatable and encouraged me to try new flavors.,7,1,1,1,1,1,2,2,,1,1,37.2
2005,1,Completed,1,2,3,Ontario,1,4,2,3,1,2,4,3,1,4,4,1,BrandX,"2, 3, 5","Lay's:8, Pringles:8, Utz:6",5,5,6,1,3,1,3,"3, 3, 3, 3, 3, 3",Average ad. Not much to say.,1,1,1,1,6,3,1,1,"3, 4",1,4,1.9
730,1,Completed,1,2,6,Ontario,5,5,2,1,4,1,4,3,3,2,3,0,Bugles,"1, 3, 4, 6","Brand X:10, Pringles:2, Ruffles:2, Kettle Brand:2",3,5,7,,,,,,,,1,2,2,6,3,2,1,"2, 3",1,5,44.4
884,1,Completed,1,2,5,Nova Scotia,5,5,1,5,4,2,2,1,2,1,2,0,BrandX,"2, 3, 5, 6","Lay's:8, Pringles:9, Utz:8, Kettle Brand:1",3,5,7,,,,,,,,1,2,1,5,4,1,2,,1,3,12
479,1,Completed,1,1,2,Ontario,3,1,2,2,5,1,2,1,4,2,2,1,"BrandX, Ruffles, Cheetos","1, 3, 4, 7","Brand X:3, Pringles:4, Ruffles:9, Herr's:3",5,5,8,1,2,1,5,"5, 3, 5, 5, 5, 5",It made me think of fun snacking moments,1,1,2,4,6,1,2,2,,2,2,12.2
711,1,Completed,1,1,1,Manitoba,5,5,5,5,4,4,2,2,2,3,3,0,Pringles,"1, 3, 4, 6","Brand X:2, Pringles:3, Ruffles:7, Kettle Brand:5",3,4,6,,,,,,,,1,2,2,1,2,2,1,"2, 3",2,3,36.9
850,1,Completed,1,2,2,Ontario,5,5,3,5,1,4,1,2,3,3,1,0,BhujaSnax,"5, 7","Utz:5, Herr's:3",4,5,7,,,,,,,,1,2,1,1,3,2,1,2,1,5,19.8
449,1,Completed,1,1,3,Manitoba,2,2,4,1,5,3,1,4,3,4,3,1,BrandX,"1, 2, 6","Brand X:3, Lay's:3, Kettle Brand:10",4,5,10,1,4,1,3,"1, 5, 5, 2, 5, 5","It was okay, but nothing special",6,2,5,2,2,2,2,1,4,1,7,5.8
398,1,Completed,1,2,2,Saskatchewan,4,3,5,5,5,1,4,2,2,1,1,1,BrandX,"1, 2, 5","Brand X:9, Lay's:8, Utz:7",5,5,8,2,,2,5,"5, 4, 5, 5, 5, 2","The commercial showed the product in various scenarios, suggesting it's a great snack for parties, movie nights, and quick bites at home. It was quite convincing.",1,2,2,1,1,2,3,2,,2,5,12.5
832,1,Completed,1,1,5,Quebec,5,5,5,5,2,3,2,1,1,1,4,0,MissVickie,"1, 3, 4, 5","Brand X:1, Pringles:6, Ruffles:10, Utz:6",2,4,8,,,,,,,,1,2,4,1,2,2,1,"1, 3, 4",1,2,26.1
996,1,Completed,1,1,3,Ontario,5,5,5,2,4,3,4,3,3,2,2,0,Lays,"2, 4, 5","Lay's:5, Ruffles:9, Utz:6",5,5,8,,,,,,,,1,2,2,5,3,2,2,,3,4,29.4
